Id,Source,Site name,Address,Zip,Phone,Fax,Program Name,Length of Day,IDHS Provider ID,Agency,Neighborhood,Funded Enrollment,Program Option,Number per Site EHS,Number per Site HS,Director,Head Start Fund,Eearly Head Start Fund,CC fund,Progmod,Website,Executive Director,Center Director,ECE Available Programs,NAEYC Valid Until,NAEYC Program Id,Email Address,Ounce of Prevention Description,Purple binder service type,Column,Column2
0,CPS_Early_Childhood_Portal_scrape.csv, Salvation Army - Temple / Salvation Army,1 N Ogden Ave ,,3122262649,,Child Care,EXTENDED DAY,,,,,,,,,,,,,,,,,,,,,,,
1,CPS_Early_Childhood_Portal_scrape.csv, Salvation Army - Temple / Salvation Army,1 N Ogden Ave ,,3122262649,,Child Care,EXTENDED DAY,,,,,,,,,,,,,,,,,,,,,,,
2,CPS_Early_Childhood_Portal_scrape.csv, National Louis University - Dr. Effie O. Ellis Training Center,10 S Kedzie Ave ,,7735339011,,Child Care,EXTENDED DAY,,,,,,,,,,,,,,,,,,,,,,,
3,CPS_Early_Childhood_Portal_scrape.csv, National Louis University - Dr. Effie O. Ellis Training Center,10 S Kedzie Ave ,,7735339011,,Child Care,EXTENDED DAY,,,,,,,,,,,,,,,,,,,,,,,
4,CPS_Early_Childhood_Portal_scrape.csv, Board Trustees-City Colleges of Chicago - Olive-Harvey College,10001 S Woodlawn Ave ,,7732916100,,Child Care,EXTENDED DAY,,,,,,,,,,,,,,,,,,,,,,,
5,CPS_Early_Childhood_Portal_scrape.csv, Board Trustees-City Colleges of Chicago - Olive-Harvey College,10001 S Woodlawn Ave ,,7732916100,,Child Care,EXTENDED DAY,,,,,,,,,,,,,,,,,,,,,,,
6,CPS_Early_Childhood_Portal_scrape.csv, Easter Seals Society of Metropolitan Chicago - Gilchrist-Marchman,1001 W Roosevelt Rd ,,3129395115,,Child Care,EXTENDED DAY,,,,,,,,,,,,,,,,,,,,,,,
7,CPS_Early_Childhood_Portal_scrape.csv, Easter Seals Society of Metropolitan Chicago - Gilchrist-Marchman,1001 W Roosevelt Rd ,,3129395115,,Child Care,EXTENDED DAY,,,,,,,,,,,,,,,,,,,,,,,
8,CPS_Early_Childhood_Portal_scrape.csv, Hull House Association - Uptown Head Start / Hull House,1020 W Bryn Mawr Ave ,,7737695753,,Child Care,EXTENDED DAY,,,,,,,,,,,,,,,,,,,,,,,
9,CPS_Early_Childhood_Portal_scrape.csv, Hull House Association - Child Dev. Central Office- Hull House CDS-Homes,1030 W Van Buren St ,,3129068600,,Child Care,EXTENDED DAY,,,,,,,,,,,,,,,,,,,,,,,
10,CPS_Early_Childhood_Portal_scrape.csv, Hull House Association - Child Dev. Central Office- Hull House CDS-Homes,1030 W Van Buren St ,,3129068600,,Child Care,EXTENDED DAY,,,,,,,,,,,,,,,,,,,,,,,
11,CPS_Early_Childhood_Portal_scrape.csv, Catholic Charities of the Archdiocese of Chicago - St. Kevin,10509 S Torrence Ave ,,7733746466,,Child Care,EXTENDED DAY,,,,,,,,,,,,,,,,,,,,,,,
12,CPS_Early_Childhood_Portal_scrape.csv, Catholic Charities of the Archdiocese of Chicago - St. Kevin,10509 S Torrence Ave ,,7733746466,,Child Care,EXTENDED DAY,,,,,,,,,,,,,,,,,,,,,,,
13,CPS_Early_Childhood_Portal_scrape.csv, Chicago State University - Community Learning Center,10612 S Wentworth ,,,,Child Care,EXTENDED DAY,,,,,,,,,,,,,,,,,,,,,,,
14,CPS_Early_Childhood_Portal_scrape.csv, Catholic Charities of the Archdiocese of Chicago - Cordia Marian,1100 S May St ,,3126663787,,Child Care,EXTENDED DAY,,,,,,,,,,,,,,,,,,,,,,,
15,CPS_Early_Childhood_Portal_scrape.csv, Catholic Charities of the Archdiocese of Chicago - Cordia Marian,1100 S May St ,,3126663787,,Child Care,EXTENDED DAY,,,,,,,,,,,,,,,,,,,,,,,
16,CPS_Early_Childhood_Portal_scrape.csv, Thresholds - Thresholds Mothers' Project,1110 W Belmont Ave ,,7734723558,,Child Care,EXTENDED DAY,,,,,,,,,,,,,,,,,,,,,,,
17,CPS_Early_Childhood_Portal_scrape.csv, Bethel New Life - Molade Child Development Center,1120 N Lamon Ave ,,7736267760,,Child Care,EXTENDED DAY,,,,,,,,,,,,,,,,,,,,,,,
18,CPS_Early_Childhood_Portal_scrape.csv, South East Asia Center - South-East Asia Center(Ainslie),1124 W Ainslie St ,,7739897433,,Child Care,EXTENDED DAY,,,,,,,,,,,,,,,,,,,,,,,
19,CPS_Early_Childhood_Portal_scrape.csv, Ada S. McKinley Community Services - McKinley - Roseland,11410 S Edbrooke Ave ,,7734681918,,Child Care,EXTENDED DAY,,,,,,,,,,,,,,,,,,,,,,,
20,CPS_Early_Childhood_Portal_scrape.csv, Ada S. McKinley Community Services - McKinley - Roseland,11410 S Edbrooke Ave ,,7734681918,,Child Care,EXTENDED DAY,,,,,,,,,,,,,,,,,,,,,,,
21,CPS_Early_Childhood_Portal_scrape.csv, Board Trustees-City Colleges of Chicago - Truman,1145 W Wilson Ave ,,7738781700,,Child Care,EXTENDED DAY,,,,,,,,,,,,,,,,,,,,,,,
22,CPS_Early_Childhood_Portal_scrape.csv, Chicago State University - Gingerbread House,11640 S Wentworth Ave ,,7739284041,,Child Care,EXTENDED DAY,,,,,,,,,,,,,,,,,,,,,,,
23,CPS_Early_Childhood_Portal_scrape.csv, Chicago State University - Gingerbread House,11640 S Wentworth Ave ,,7739284041,,Child Care,EXTENDED DAY,,,,,,,,,,,,,,,,,,,,,,,
24,CPS_Early_Childhood_Portal_scrape.csv, Chicago State University - Academy of Early Education,124 E 113th St ,,7737858163,,Child Care,EXTENDED DAY,,,,,,,,,,,,,,,,,,,,,,,
25,CPS_Early_Childhood_Portal_scrape.csv, Chicago State University - Academy of Early Education,124 E 113th St ,,7737858163,,Child Care,EXTENDED DAY,,,,,,,,,,,,,,,,,,,,,,,
26,CPS_Early_Childhood_Portal_scrape.csv, Easter Seals Society of Metropolitan Chicago - Stepping Stones Early/Childhood Lear,1300 E 75th St ,,7734930000,,Child Care,EXTENDED DAY,,,,,,,,,,,,,,,,,,,,,,,
27,CPS_Early_Childhood_Portal_scrape.csv, Marcy Newberry Association - FOSCO ABLA Center,1312 S Racine Ave ,,3127466024,,Child Care,EXTENDED DAY,,,,,,,,,,,,,,,,,,,,,,,
28,CPS_Early_Childhood_Portal_scrape.csv, Marcy Newberry Association - FOSCO ABLA Center,1312 S Racine Ave ,,3127466024,,Child Care,EXTENDED DAY,,,,,,,,,,,,,,,,,,,,,,,
29,CPS_Early_Childhood_Portal_scrape.csv, Salvation Army - Incarnation / Salvation Army,1345 N Karlov Ave ,,7732764118,,Child Care,EXTENDED DAY,,,,,,,,,,,,,,,,,,,,,,,
30,CPS_Early_Childhood_Portal_scrape.csv, Abraham Lincoln Centre - Hope Presbyterian Church,1354 W 61st St ,,7734715100,,Child Care,EXTENDED DAY,,,,,,,,,,,,,,,,,,,,,,,
31,CPS_Early_Childhood_Portal_scrape.csv, Catholic Charities of the Archdiocese of Chicago - Our Lady of Lourdes,1449 S Keeler Ave ,,7735213126,,Child Care,EXTENDED DAY,,,,,,,,,,,,,,,,,,,,,,,
32,CPS_Early_Childhood_Portal_scrape.csv, Catholic Charities of the Archdiocese of Chicago - Our Lady of Lourdes,1449 S Keeler Ave ,,7735213126,,Child Care,EXTENDED DAY,,,,,,,,,,,,,,,,,,,,,,,
33,CPS_Early_Childhood_Portal_scrape.csv, Lutheran Social Services of Illinois - North Austin / LSSI,1500 N Mason Ave ,,7732371930,,Child Care,EXTENDED DAY,,,,,,,,,,,,,,,,,,,,,,,
34,CPS_Early_Childhood_Portal_scrape.csv, Marcy Newberry Association - New Birth,1500 W 69th St ,,7734710699,,Child Care,EXTENDED DAY,,,,,,,,,,,,,,,,,,,,,,,
35,CPS_Early_Childhood_Portal_scrape.csv, Chicago Youth Centers - Mt. Moriah-Taylor / CYC,1501 N Harding Ave ,,7732785837,,Child Care,EXTENDED DAY,,,,,,,,,,,,,,,,,,,,,,,
36,CPS_Early_Childhood_Portal_scrape.csv, Marcy Newberry Association - Marcy Center,1539 S Springfield Ave ,,7737612300,,Child Care,EXTENDED DAY,,,,,,,,,,,,,,,,,,,,,,,
37,CPS_Early_Childhood_Portal_scrape.csv, Marcy Newberry Association - Marcy Center,1539 S Springfield Ave ,,7737612300,,Child Care,EXTENDED DAY,,,,,,,,,,,,,,,,,,,,,,,
38,CPS_Early_Childhood_Portal_scrape.csv, Mary Crane League - Mary Crane - Morse,1545 W Morse Ave ,,7732621390,,Child Care,EXTENDED DAY,,,,,,,,,,,,,,,,,,,,,,,
39,CPS_Early_Childhood_Portal_scrape.csv, South Shore Bible - Maranatha,1631 E 71st St ,,7734937500,,Child Care,EXTENDED DAY,,,,,,,,,,,,,,,,,,,,,,,
40,CPS_Early_Childhood_Portal_scrape.csv, Chicago Commons Association - Taylor Center for New Experiences,1633 N Hamlin Ave ,,7732278551,,Child Care,EXTENDED DAY,,,,,,,,,,,,,,,,,,,,,,,
41,CPS_Early_Childhood_Portal_scrape.csv, Catholic Charities of the Archdiocese of Chicago - Ebenezer,1652 W Foster Ave ,,7738789925,,Child Care,EXTENDED DAY,,,,,,,,,,,,,,,,,,,,,,,
42,CPS_Early_Childhood_Portal_scrape.csv, Chicago Commons Association - Paulo Freire,1653 W 43rd St ,,7738262669,,Child Care,EXTENDED DAY,,,,,,,,,,,,,,,,,,,,,,,
43,CPS_Early_Childhood_Portal_scrape.csv, Erie Neighborhood House - Erie Community Center,1701 W Superior St ,,3125635800,,Child Care,EXTENDED DAY,,,,,,,,,,,,,,,,,,,,,,,
44,CPS_Early_Childhood_Portal_scrape.csv, El Valor - Little Tykes I,1711 W 35th St ,,7732547700,,Child Care,EXTENDED DAY,,,,,,,,,,,,,,,,,,,,,,,
45,CPS_Early_Childhood_Portal_scrape.csv, El Valor - Little Tykes I,1711 W 35th St ,,7732547700,,Child Care,EXTENDED DAY,,,,,,,,,,,,,,,,,,,,,,,
46,CPS_Early_Childhood_Portal_scrape.csv, ChildServ - Pilsen,1711 W Garfield Blvd ,,,,Child Care,EXTENDED DAY,,,,,,,,,,,,,,,,,,,,,,,
47,CPS_Early_Childhood_Portal_scrape.csv, El Hogar del Nino/Cuidar - El Hogar del Nino/El Centro - Loomis,1718 S Loomis Blvd ,,3125639796,,Child Care,EXTENDED DAY,,,,,,,,,,,,,,,,,,,,,,,
48,CPS_Early_Childhood_Portal_scrape.csv, El Hogar del Nino/Cuidar - El Hogar del Nino/El Centro - Loomis,1718 S Loomis Blvd ,,3125639796,,Child Care,EXTENDED DAY,,,,,,,,,,,,,,,,,,,,,,,
49,CPS_Early_Childhood_Portal_scrape.csv, El Valor - Little Tykes II,1723 W 35th St ,,7735791791,,Child Care,EXTENDED DAY,,,,,,,,,,,,,,,,,,,,,,,
50,CPS_Early_Childhood_Portal_scrape.csv, El Valor - Little Tykes II,1723 W 35th St ,,7735791791,,Child Care,EXTENDED DAY,,,,,,,,,,,,,,,,,,,,,,,
51,CPS_Early_Childhood_Portal_scrape.csv, Church of God True Believers - Church of God Day Care,1738 W Marquette Rd ,,7734715222,,Child Care,EXTENDED DAY,,,,,,,,,,,,,,,,,,,,,,,
52,CPS_Early_Childhood_Portal_scrape.csv, Lutheran Social Services of Illinois - Rogers Park / LSSI,1754 W Devon Ave ,,7732623366,,Child Care,EXTENDED DAY,,,,,,,,,,,,,,,,,,,,,,,
53,CPS_Early_Childhood_Portal_scrape.csv, Chicago Commons Association - Guadalupano Family Center,1814 S Paulina St ,,3126663883,,Child Care,EXTENDED DAY,,,,,,,,,,,,,,,,,,,,,,,
54,CPS_Early_Childhood_Portal_scrape.csv, Chicago Commons Association - Guadalupano Family Center,1814 S Paulina St ,,3126663883,,Child Care,EXTENDED DAY,,,,,,,,,,,,,,,,,,,,,,,
