Id,Source,Site name,Address,Zip,Phone,Fax,Program Name,Length of Day,IDHS Provider ID,Agency,Neighborhood,Funded Enrollment,Program Option,Number per Site EHS,Number per Site HS,Director,Head Start Fund,Eearly Head Start Fund,CC fund,Progmod,Website,Executive Director,Center Director,ECE Available Programs,NAEYC Valid Until,NAEYC Program Id,Email Address,Ounce of Prevention Description,Purple binder service type,Column,Column2
1385,chapin_dfss_providers_2011_070212.csv,ABRAHAM LINCOLN CENTRE ABRAHAM-LINCOLN,3858 S COTTAGE GROVE ,60653,2851390,,,,,,,ABRAHAM LINCOLN CENTRE,OAKLAND,,,,,Charles Ann Stewart,Yes,No,Yes,2749SA(School Age (SA)),,,,,,,,,
1386,chapin_dfss_providers_2011_070212.csv,ABRAHAM LINCOLN CENTRE LINCOLN ROSELAND,7 E 119TH ST ,60628,2647633,,,,,,,ABRAHAM LINCOLN CENTRE,WEST PULLMAN,,,,,Barbara Woods,Yes,No,No,3175PS(HS Collaboration with Childcare & PreK),,,,,,,,,
1387,chapin_dfss_providers_2011_070212.csv,ABRAHAM LINCOLN CENTRE LINCOLN/KING,4314 S COTTAGE GROVE ,60653,7472310,,,,,,,ABRAHAM LINCOLN CENTRE,GRAND BOULEVARD,,,,,Joyce Wallace,Yes,No,No,7100PS(HS Collaboration with Childcare & PreK),,,,,,,,,
1388,chapin_dfss_providers_2011_070212.csv,ADA S. MCKINLEY COMMUNITY SERVICES ALBANY LOCATION,5954 S ALBANY ,60629,7377810,,,,,,,ADA S. MCKINLEY COMMUNITY SERVICES,CHICAGO LAWN,,,,,Mildred Burnside,Yes,No,No,,,,,,,,,,
1389,chapin_dfss_providers_2011_070212.csv,ADA S. MCKINLEY COMMUNITY SERVICES CHILDREN'S CENTER (HALSTED),12803 S HALSTED ,60628,2645171,,,,,,,ADA S. MCKINLEY COMMUNITY SERVICES,WEST PULLMAN,,,,,Olivia Ramsey,Yes,No,No,,,,,,,,,,
1390,chapin_dfss_providers_2011_070212.csv,ADA S. MCKINLEY COMMUNITY SERVICES CHILDREN'S CENTER (WESTERN),7956 S WESTERN ,60620,4768805,,,,,,,ADA S. MCKINLEY COMMUNITY SERVICES,ASHBURN,,,,,Corlis Wright,Yes,No,No,,,,,,,,,,
1391,chapin_dfss_providers_2011_070212.csv,ADA S. MCKINLEY COMMUNITY SERVICES LITTLE GENIUS,11439 S MICHIGAN AVE ,60628,6298091,,,,,,,ADA S. MCKINLEY COMMUNITY SERVICES,ROSELAND,,,,,Melissa Carter,Yes,No,No,,,,,,,,,,
1392,chapin_dfss_providers_2011_070212.csv,ADA S. MCKINLEY COMMUNITY SERVICES LITTLE HANDS,7146 S ASHLAND ,60636,4710662,,,,,,,ADA S. MCKINLEY COMMUNITY SERVICES,WEST ENGLEWOOD,,,,,Crystal Fielder,Yes,No,No,,,,,,,,,,
1393,chapin_dfss_providers_2011_070212.csv,ADA S. MCKINLEY COMMUNITY SERVICES MCKINLEY-ERSULA HOWARD,7222 S EXCHANGE ,60649,2219711,,,,,,,ADA S. MCKINLEY COMMUNITY SERVICES,SOUTH SHORE,,,,,Stella Sweeten,Yes,No,No,"4357IT(Child Care IT Center), 7035PS(HS Collaboration with C",,,,,,,,,
1394,chapin_dfss_providers_2011_070212.csv,ADA S. MCKINLEY COMMUNITY SERVICES MCKINLEY-MAGGIE DRUMMOND,4301 S WABASH ,60653,3738200,,,,,,,ADA S. MCKINLEY COMMUNITY SERVICES,GRAND BOULEVARD,,,,,Angie Fells,Yes,No,Yes,"4355IT(Child Care IT Center), 4355SA(School Age (SA)), 4355P",,,,,,,,,
