"True Id","Id","Source","Site name","Address","Zip","Phone","Fax","Program Name","Length of Day","IDHS Provider ID","Agency","Neighborhood","Funded Enrollment","Program Option","Number per Site EHS","Number per Site HS","Director","Head Start Fund","Eearly Head Start Fund","CC fund","Progmod","Website","Executive Director","Center Director","ECE Available Programs","NAEYC Valid Until","NAEYC Program Id","Email Address","Ounce of Prevention Description","Purple binder service type","Column","Column2"
27,1958,"DFSS_AgencySiteLies_2012.csv","Chicago Commons
Association St Catherine's - St. Lucy School","27 Washington Oak Park IL 60302",,3865286,,,,,"Chicago Commons
Association",,,,,,,,,,,"www.chicagocommons.org","Dan Valliere","Sister Marion Cypser",,,,,,,,
221,287,"CPS_Early_Childhood_Portal_scrape.csv"," Precious Little One's Learning Center, Inc.","221 E. 51st St. ",,2859902,,"Community Partnerships","8-11 Hours, varies by facility",,,,,,,,,,,,,,,,,,,,,,,
224,628,"CPS_Early_Childhood_Portal_scrape.csv"," Ellington","224 N. Central ",,5346361,,"Head Start","3-4 hours",,,,,,,,,,,,,,,,,,,,,,,
316,98,"CPS_Early_Childhood_Portal_scrape.csv"," Bethel New Life - Lake and Pulaski","316 N Pulaski Rd ",,2653830,,"Child Care","EXTENDED DAY",,,,,,,,,,,,,,,,,,,,,,,
316,690,"CPS_Early_Childhood_Portal_scrape.csv"," Bethel New Life - Lake and Pulaski","316 N Pulaski Rd ",,2653830,,"Head Start","HALF DAY/FULL DAY",,,,,,,,,,,,,,,,,,,,,,,
412,207,"CPS_Early_Childhood_Portal_scrape.csv"," Cole CPC","412 S. Keeler ",,5346857,,"Child Parent Center","3-4 hours",,,,,,,,,,,,,,,,,,,,,,,
432,366,"CPS_Early_Childhood_Portal_scrape.csv"," Golden Gate Day Care Center","432 E. 134th Street ",,9287085,,"Community Partnerships","8-11 Hours, varies by facility",,,,,,,,,,,,,,,,,,,,,,,
501,388,"CPS_Early_Childhood_Portal_scrape.csv"," Children?s House - Lake Meadows","501 East 32nd Street ",,2252223,,"Community Partnerships","8-11 Hours, varies by facility",,,,,,,,,,,,,,,,,,,,,,,
545,402,"CPS_Early_Childhood_Portal_scrape.csv"," Archdiocese of Chicago - Holy Angels School","545 E. Oakwood Blvd. ",,6240727,,"Community Partnerships","8-11 Hours, varies by facility",,,,,,,,,,,,,,,,,,,,,,,
707,434,"CPS_Early_Childhood_Portal_scrape.csv"," Abraham Lincoln Center Donoghue","707 E. 37th St. ",,7295325,,"Community Partnerships","8-11 Hours, varies by facility",,,,,,,,,,,,,,,,,,,,,,,
707,833,"CPS_Early_Childhood_Portal_scrape.csv"," Abraham Lincoln Centre - Donoghue","707 E 37th St ",,,,"Head Start","HALF DAY/FULL DAY",,,,,,,,,,,,,,,,,,,,,,,
707,1301,"CPS_Early_Childhood_Portal_scrape.csv"," Abraham Lincoln Centre - Donoghue","707 E 37th St ",,,,"State Pre-Kindergarten","HALF DAY/FULL DAY",,,,,,,,,,,,,,,,,,,,,,,
843,462,"CPS_Early_Childhood_Portal_scrape.csv"," Bethune Educational Center","843 W. 103rd Street ",,2336100,,"Community Partnerships","8-11 Hours, varies by facility",,,,,,,,,,,,,,,,,,,,,,,
849,866,"CPS_Early_Childhood_Portal_scrape.csv"," McNair Acad. Center","849 N. Leamington ",,5346100,,"Head Start","3-4 hours",,,,,,,,,,,,,,,,,,,,,,,
911,1149,"CPS_Early_Childhood_Portal_scrape.csv"," Armour","911 West 32nd Place ",,5357297,,"Prekindergarten For All","3-4 hours",,,,,,,,,,,,,,,,,,,,,,,
1001,6,"CPS_Early_Childhood_Portal_scrape.csv"," Easter Seals Society of Metropolitan Chicago - Gilchrist-Marchman","1001 W Roosevelt Rd ",,9395115,,"Child Care","EXTENDED DAY",,,,,,,,,,,,,,,,,,,,,,,
1001,7,"CPS_Early_Childhood_Portal_scrape.csv"," Easter Seals Society of Metropolitan Chicago - Gilchrist-Marchman","1001 W Roosevelt Rd ",,9395115,,"Child Care","EXTENDED DAY",,,,,,,,,,,,,,,,,,,,,,,
1001,515,"CPS_Early_Childhood_Portal_scrape.csv"," Easter Seals Society of Metropolitan Chicago - Gilchrist-Marchman","1001 W Roosevelt Rd ",,9395115,,"Head Start","HALF DAY/FULL DAY",,,,,,,,,,,,,,,,,,,,,,,
1001,516,"CPS_Early_Childhood_Portal_scrape.csv"," Easter Seals Society of Metropolitan Chicago - Gilchrist-Marchman","1001 W Roosevelt Rd ",,9395115,,"Head Start","HALF DAY/FULL DAY",,,,,,,,,,,,,,,,,,,,,,,
1001,1161,"CPS_Early_Childhood_Portal_scrape.csv"," Easter Seals Society of Metropolitan Chicago - Gilchrist-Marchman","1001 W Roosevelt Rd ",,9395115,,"School Age","PART DAY/FULL DAY",,,,,,,,,,,,,,,,,,,,,,,
1001,1162,"CPS_Early_Childhood_Portal_scrape.csv"," Easter Seals Society of Metropolitan Chicago - Gilchrist-Marchman","1001 W Roosevelt Rd ",,9395115,,"School Age","PART DAY/FULL DAY",,,,,,,,,,,,,,,,,,,,,,,
1001,1229,"CPS_Early_Childhood_Portal_scrape.csv"," Easter Seals Society of Metropolitan Chicago - Gilchrist-Marchman","1001 W Roosevelt Rd ",,9395115,,"State Pre-Kindergarten","HALF DAY/FULL DAY",,,,,,,,,,,,,,,,,,,,,,,
1001,1230,"CPS_Early_Childhood_Portal_scrape.csv"," Easter Seals Society of Metropolitan Chicago - Gilchrist-Marchman","1001 W Roosevelt Rd ",,9395115,,"State Pre-Kindergarten","HALF DAY/FULL DAY",,,,,,,,,,,,,,,,,,,,,,,
111960610,517,"CPS_Early_Childhood_Portal_scrape.csv"," Jenner","1009 N. Cleveland ",,5348440,,"Head Start","5-6 hours",,,,,,,,,,,,,,,,,,,,,,,
1026,221,"CPS_Early_Childhood_Portal_scrape.csv"," Archdiocese of Chicago - St. Mary of the Lake","1026 W. Buena Ave. ",,2810018,,"Community Partnerships","8-11 Hours, varies by facility",,,,,,,,,,,,,,,,,,,,,,,
1030,9,"CPS_Early_Childhood_Portal_scrape.csv"," Hull House Association - Child Dev. Central Office- Hull House CDS-Homes","1030 W Van Buren St ",,9068600,,"Child Care","EXTENDED DAY",,,,,,,,,,,,,,,,,,,,,,,
1030,10,"CPS_Early_Childhood_Portal_scrape.csv"," Hull House Association - Child Dev. Central Office- Hull House CDS-Homes","1030 W Van Buren St ",,9068600,,"Child Care","EXTENDED DAY",,,,,,,,,,,,,,,,,,,,,,,
1030,478,"CPS_Early_Childhood_Portal_scrape.csv"," Hull House Association - Child Dev. Central Office- Hull House CDS-Homes","1030 W Van Buren St ",,9068600,,"Early Head Start","EXTENDED DAY",,,,,,,,,,,,,,,,,,,,,,,
1030,479,"CPS_Early_Childhood_Portal_scrape.csv"," Hull House Association - Child Dev. Central Office- Hull House CDS-Homes","1030 W Van Buren St ",,9068600,,"Early Head Start","EXTENDED DAY",,,,,,,,,,,,,,,,,,,,,,,
1124,18,"CPS_Early_Childhood_Portal_scrape.csv"," South East Asia Center - South-East Asia Center(Ainslie)","1124 W Ainslie St ",,9897433,,"Child Care","EXTENDED DAY",,,,,,,,,,,,,,,,,,,,,,,
1124,1165,"CPS_Early_Childhood_Portal_scrape.csv"," South East Asia Center - South-East Asia Center(Ainslie)","1124 W Ainslie St ",,9897433,,"School Age","PART DAY/FULL DAY",,,,,,,,,,,,,,,,,,,,,,,
1124,1234,"CPS_Early_Childhood_Portal_scrape.csv"," South East Asia Center - South-East Asia Center(Ainslie)","1124 W Ainslie St ",,9897433,,"State Pre-Kindergarten","HALF DAY/FULL DAY",,,,,,,,,,,,,,,,,,,,,,,
1126,530,"CPS_Early_Childhood_Portal_scrape.csv"," Henry Booth House - Humpty Dumpty","1126 W 99th ST ",,,,"Head Start","HALF DAY/FULL DAY",,,,,,,,,,,,,,,,,,,,,,,
1132,231,"CPS_Early_Childhood_Portal_scrape.csv"," LEARN Charter School","1132 S. Homan ",,8266330,,"Community Partnerships","8-11 Hours, varies by facility",,,,,,,,,,,,,,,,,,,,,,,
1148,930,"CPS_Early_Childhood_Portal_scrape.csv"," LaSalle/Andersen","1148 N. Honore ",,5344276,,"Prekindergarten For All","3-4 hours",,,,,,,,,,,,,,,,,,,,,,,
1212,901,"CPS_Early_Childhood_Portal_scrape.csv"," South Loop","1212 S. Plymouth ",,5348690,,"Head Start/Prekindergarten For","8-11 Hours, varies by facility",,,,,,,,,,,,,,,,,,,,,,,
1212,902,"CPS_Early_Childhood_Portal_scrape.csv"," South Loop","1212 S. Plymouth ",,5348690,,"Head Start/Prekindergarten For","8-11 Hours, varies by facility",,,,,,,,,,,,,,,,,,,,,,,
1212,1314,"CPS_Early_Childhood_Portal_scrape.csv"," South Loop","1212 S. Plymouth ",,5348690,,"Tuition Based Preschool","8-11 Hours, varies by facility",,,,,,,,,,,,,,,,,,,,,,,
1212,1315,"CPS_Early_Childhood_Portal_scrape.csv"," South Loop","1212 S. Plymouth ",,5348690,,"Tuition Based Preschool","8-11 Hours, varies by facility",,,,,,,,,,,,,,,,,,,,,,,
1250,545,"CPS_Early_Childhood_Portal_scrape.csv"," Carpenter","1250 W. Erie ",,5347385,,"Head Start","3-4 hours",,,,,,,,,,,,,,,,,,,,,,,
1315,198,"CPS_Early_Childhood_Portal_scrape.csv"," Joyner CPC","1315 S. Blue Island ",,5347903,,"Child Parent Center","3-4 hours",,,,,,,,,,,,,,,,,,,,,,,
1340,555,"CPS_Early_Childhood_Portal_scrape.csv"," Altgeld","1340 W. 71St ",,5353250,,"Head Start","5-6 hours",,,,,,,,,,,,,,,,,,,,,,,
1409,940,"CPS_Early_Childhood_Portal_scrape.csv"," Schiller","1409 N. Ogden ",,5348126,,"Prekindergarten For All","3-4 hours",,,,,,,,,,,,,,,,,,,,,,,
1414,246,"CPS_Early_Childhood_Portal_scrape.csv"," Taylor - Day School Inc.","1414 W. 87th St ",,2392322,,"Community Partnerships","8-11 Hours, varies by facility",,,,,,,,,,,,,,,,,,,,,,,
1440,568,"CPS_Early_Childhood_Portal_scrape.csv"," Lathrop","1440 S. Christiana ",,5341812,,"Head Start","5-6 hours",,,,,,,,,,,,,,,,,,,,,,,
