Id,Source,Site name,Address,Zip,Phone,Fax,Program Name,Length of Day,IDHS Provider ID,Agency,Neighborhood,Funded Enrollment,Program Option,Number per Site EHS,Number per Site HS,Director,Head Start Fund,Eearly Head Start Fund,CC fund,Progmod,Website,Executive Director,Center Director,ECE Available Programs,NAEYC Valid Until,NAEYC Program Id,Email Address,Ounce of Prevention Description,Purple binder service type,Column,Column2
0,CPS_Early_Childhood_Portal_scrape.csv, Salvation Army - Temple / Salvation Army,1 N Ogden Ave ,,2262649,,Child Care,EXTENDED DAY,,,,,,,,,,,,,,,,,,,,,,,
1,CPS_Early_Childhood_Portal_scrape.csv, Salvation Army - Temple / Salvation Army,1 N Ogden Ave ,,2262649,,Child Care,EXTENDED DAY,,,,,,,,,,,,,,,,,,,,,,,
2,CPS_Early_Childhood_Portal_scrape.csv, National Louis University - Dr. Effie O. Ellis Training Center,10 S Kedzie Ave ,,5339011,,Child Care,EXTENDED DAY,,,,,,,,,,,,,,,,,,,,,,,
3,CPS_Early_Childhood_Portal_scrape.csv, National Louis University - Dr. Effie O. Ellis Training Center,10 S Kedzie Ave ,,5339011,,Child Care,EXTENDED DAY,,,,,,,,,,,,,,,,,,,,,,,
4,CPS_Early_Childhood_Portal_scrape.csv, Board Trustees-City Colleges of Chicago - Olive-Harvey College,10001 S Woodlawn Ave ,,2916100,,Child Care,EXTENDED DAY,,,,,,,,,,,,,,,,,,,,,,,
5,CPS_Early_Childhood_Portal_scrape.csv, Board Trustees-City Colleges of Chicago - Olive-Harvey College,10001 S Woodlawn Ave ,,2916100,,Child Care,EXTENDED DAY,,,,,,,,,,,,,,,,,,,,,,,
6,CPS_Early_Childhood_Portal_scrape.csv, Easter Seals Society of Metropolitan Chicago - Gilchrist-Marchman,1001 W Roosevelt Rd ,,9395115,,Child Care,EXTENDED DAY,,,,,,,,,,,,,,,,,,,,,,,
7,CPS_Early_Childhood_Portal_scrape.csv, Easter Seals Society of Metropolitan Chicago - Gilchrist-Marchman,1001 W Roosevelt Rd ,,9395115,,Child Care,EXTENDED DAY,,,,,,,,,,,,,,,,,,,,,,,
8,CPS_Early_Childhood_Portal_scrape.csv, Hull House Association - Uptown Head Start / Hull House,1020 W Bryn Mawr Ave ,,7695753,,Child Care,EXTENDED DAY,,,,,,,,,,,,,,,,,,,,,,,
9,CPS_Early_Childhood_Portal_scrape.csv, Hull House Association - Child Dev. Central Office- Hull House CDS-Homes,1030 W Van Buren St ,,9068600,,Child Care,EXTENDED DAY,,,,,,,,,,,,,,,,,,,,,,,
10,CPS_Early_Childhood_Portal_scrape.csv, Hull House Association - Child Dev. Central Office- Hull House CDS-Homes,1030 W Van Buren St ,,9068600,,Child Care,EXTENDED DAY,,,,,,,,,,,,,,,,,,,,,,,
11,CPS_Early_Childhood_Portal_scrape.csv, Catholic Charities of the Archdiocese of Chicago - St. Kevin,10509 S Torrence Ave ,,3746466,,Child Care,EXTENDED DAY,,,,,,,,,,,,,,,,,,,,,,,
12,CPS_Early_Childhood_Portal_scrape.csv, Catholic Charities of the Archdiocese of Chicago - St. Kevin,10509 S Torrence Ave ,,3746466,,Child Care,EXTENDED DAY,,,,,,,,,,,,,,,,,,,,,,,
13,CPS_Early_Childhood_Portal_scrape.csv, Chicago State University - Community Learning Center,10612 S Wentworth ,,,,Child Care,EXTENDED DAY,,,,,,,,,,,,,,,,,,,,,,,
14,CPS_Early_Childhood_Portal_scrape.csv, Catholic Charities of the Archdiocese of Chicago - Cordia Marian,1100 S May St ,,6663787,,Child Care,EXTENDED DAY,,,,,,,,,,,,,,,,,,,,,,,
15,CPS_Early_Childhood_Portal_scrape.csv, Catholic Charities of the Archdiocese of Chicago - Cordia Marian,1100 S May St ,,6663787,,Child Care,EXTENDED DAY,,,,,,,,,,,,,,,,,,,,,,,
16,CPS_Early_Childhood_Portal_scrape.csv, Thresholds - Thresholds Mothers' Project,1110 W Belmont Ave ,,4723558,,Child Care,EXTENDED DAY,,,,,,,,,,,,,,,,,,,,,,,
17,CPS_Early_Childhood_Portal_scrape.csv, Bethel New Life - Molade Child Development Center,1120 N Lamon Ave ,,6267760,,Child Care,EXTENDED DAY,,,,,,,,,,,,,,,,,,,,,,,
18,CPS_Early_Childhood_Portal_scrape.csv, South East Asia Center - South-East Asia Center(Ainslie),1124 W Ainslie St ,,9897433,,Child Care,EXTENDED DAY,,,,,,,,,,,,,,,,,,,,,,,
19,CPS_Early_Childhood_Portal_scrape.csv, Ada S. McKinley Community Services - McKinley - Roseland,11410 S Edbrooke Ave ,,4681918,,Child Care,EXTENDED DAY,,,,,,,,,,,,,,,,,,,,,,,
20,CPS_Early_Childhood_Portal_scrape.csv, Ada S. McKinley Community Services - McKinley - Roseland,11410 S Edbrooke Ave ,,4681918,,Child Care,EXTENDED DAY,,,,,,,,,,,,,,,,,,,,,,,
21,CPS_Early_Childhood_Portal_scrape.csv, Board Trustees-City Colleges of Chicago - Truman,1145 W Wilson Ave ,,8781700,,Child Care,EXTENDED DAY,,,,,,,,,,,,,,,,,,,,,,,
22,CPS_Early_Childhood_Portal_scrape.csv, Chicago State University - Gingerbread House,11640 S Wentworth Ave ,,9284041,,Child Care,EXTENDED DAY,,,,,,,,,,,,,,,,,,,,,,,
23,CPS_Early_Childhood_Portal_scrape.csv, Chicago State University - Gingerbread House,11640 S Wentworth Ave ,,9284041,,Child Care,EXTENDED DAY,,,,,,,,,,,,,,,,,,,,,,,
24,CPS_Early_Childhood_Portal_scrape.csv, Chicago State University - Academy of Early Education,124 E 113th St ,,7858163,,Child Care,EXTENDED DAY,,,,,,,,,,,,,,,,,,,,,,,
