ID,OrganizationName,OrganizationType,Address,Address2,City,State,ZipCode,OrgPhone,PCUseRestrictions,HardwarePublic,AssistiveTechnology,InternetUpload,InternetDownload,VolunteersUsed,VolunteersUsedHow,VolunteersWantedHow,Longitude,Latitude,PublicWiFiDetail,NearestParking,NearestParkingDetail,HandicapAccessDetail,PublicTransportationDetail,TimeAllowedPerUser,TimeAllowedPerUserDetail,RoomList,Hours,WEBSITE,HOURS,APPOINTMENT,INTERNET,WIFI,TRAINING
1000,Test PCC -- Prod,WorkNet Chicago,123 W. East St.,  ,Chicago,IL,60601,333-333-3333,Must be a Chicago resident.,2,2 workstations have ZoomText,1.5Mbps,6Mbps,yes,"Register participants, assign computers, monitor lab",to teach class,-87.6202514,41.6707595,wifi no,Paid,nearest parking -- paid,Handicap -- no,trans -- no,Timed,timed,  Room 1620  Room 3056,"Sunday 6am-10am 

Monday 6am-10pm 

Tuesday 6am-10pm 

Wednesday 6am-10pm 

Thursday 4am-10am 

Friday 6am-10pm 

Saturday 6am-10pm ",,,,,,
1001,Harold Washington College,City Colleges of Chicago,30 E. Lake Street,  ,Chicago,IL,60601,312-553-5600,"No food or drinks, no chewing gum.",160,"Jaws, ZoomText, marked w/ signage. Dragon Speak available.",59,119.31,no,  ,Provide technology support to users and equipment maintenance,-87.6264001,41.8857699,"Public Wifi, signal strenght great.",Paid,"Self Park $14, first come first serve","Doors, restrooms, resource areas",CTA; very close,unlimited,No Time limit.,"First Floor Lobby  2nd Floor  Room 404  Floors 4, 7, 10 and Basement","Monday 6pm-9pm 

Tuesday 6pm-9pm 

Wednesday 6pm-9pm 

Thursday 6pm-9pm 

Friday 10am-7pm 

Saturday 10am-3pm ",,,,,,
1002,Harry S. Truman College,City Colleges of Chicago,1145 W. Wilson,  ,Chicago,IL,60640,773-907-4000,Deepfreeze - NO thawspace,40,Jaws,57Mbps,86Mbps,no,  ,  ,-87.6598137,41.9652352,"WEP, Open",Free,"Campus Parking Garage, Free","Ramps, doors, 2 ADA complient desks.","Redline, 300 feet - bus stop within walking",unlimited,Unilimited for now. May change based on usage,  ,"Monday TBD 

Tuesday TBD 

Wednesday TBD 

Thursday TBD 

Friday TBD 

Saturday TBD ",,,,,,
1003,Lakeview Learning Center,City Colleges of Chicago,3310 N. Clark Street,  ,Chicago,IL,60657,  ,  ,  ,  ,  ,  ,  ,  ,  ,-87.6523554,41.9420291,  ,  ,  ,  ,  ,  ,  ,  ,  ,,,,,,
1004,Kennedy-King College,City Colleges of Chicago,6301 S. Halsted Street,  ,Chicago,IL,60621,773-602-5363,"PCs will be monitored with netsupport software. Deepfreeze will be installed on the machines. Library- No Cell Phone Use, No Food of Drink",48,"Jaws, ZoomText, Dragon Naturally Speaking",n/a,n/a,no,  ,  ,-87.644754,41.7797854,  ,Free,School Parking Lot,"Elevators, Handicap doors, Accessible computers.",Green Line Metra through campus,unlimited,  ,V110  Library  Building W Lobby,"Monday 8:30am- 8:00pm 

Tuesday 8:30am- 8:00pm 

Wednesday 8:30am- 8:00pm 

Thursday 8:30am- 8:00pm 

Friday 8:30am- 4:00pm 

Saturday 9:00am- 1:00pm ",,,,,,
1005,Dawson Technical Institute,City Colleges of Chicago,3901 S. State Street,  ,Chicago,IL,60609,773-602-5363,n/a,0,n/a,70+ mbps,60+ mbps,no,  ,  ,-87.6262275,41.8235415,  ,Free,Parking in rear for staff/students,"Push button doors, and restrooms.","CTA, bus stop on each side of the street",  ,N/A,  ,  ,,,,,,
1006,Malcolm X College,City Colleges of Chicago,1900 W. Van Buren,  ,Chicago,IL,60612,312-850-7000,PC's will not save data afer reboot,62,zoom text and Jaws,42.89,56.55,no,  ,to monitor the PC's 2 people,-87.6742179,41.8762613,"WPA Security, Signal strenght great",Free,across the street from school - parking lot,Auto doors & elavators,CTA train and bus Train 1 block away bus in front of building,Timed,Friday 12 4 and saturday 9 2,  ,"Friday 12-4 

Saturday 9-2 ",,,,,,
1007,Westside Learning Center,City Colleges of Chicago,4624 W. Madison Street,  ,Chicago,IL,60644,312-850-7420,"Will not save data upon reboot, no food or drinks in lab",60,zoom text,21.82 Mbps,99.42 Mbps,no,  ,two,-87.7403736,41.8805961,wpa,Free,next to college,doors,bus in front of building,Timed,Friday 9-12 Saturday 9-12,  ,"Friday 9-12 

Saturday 9-12 ",,,,,,
1008,Olive-Harvey College,City Colleges of Chicago,10001 S. Woodlawn Ave.,  ,Chicago,IL,60628,773-291-6200,Open access. No installation or deletion of any program,96,Magic on limited machines,64Mbps,64Mbps,no,  ,AS lab aide's to manage the lab in terms of people visiting.,-87.5903737,41.7141033,"Free, signal strenght great",Free,"Student parking (permit), faculty, and diability","Push button doors, elevators.","CTA bus, drops off in front",unlimited,TBD,  ,"Monday 2pm-8pm 

Tuesday 2pm-8pm 

Wednesday 2pm-8pm 

Thursday 2pm-8pm 

Friday 2pm-8pm 

Saturday 9am-1pm ",,,,,,
1009,South Chicago Learning Center,City Colleges of Chicago,3055 E. 92nd Street,  ,Chicago,IL,60617,773-291-6770,Kids below a certain age will need to have a parent with them.,57,TDB,22.75 Mbps,92.66 Mbps,yes,Community Members,"Communication, assisting people.",-87.549122,41.727986,802.11n,Paid,Street Parking,Ramp,2 blocks,unlimited,Depends on need and demand which will be evaluated.,Room 015  Room 106,"Monday TDB 

Tuesday TDB 

Wednesday TDB 

Thursday TDB 

Friday TDB 

Saturday TDB ",,,,,,
