person_id,leuven_id,person_name
2909,402600,"* AGILENT TECHNOLOGIES, INC."
3574,569309,* AKZO NOBEL N.V.
3575,569309,* AKZO NOBEL NV
3779,656303,* ALCATEL N.V.
3780,656303,* ALCATEL N.V.
3782,656303,* ALCATEL N.V.
15041,4333661,* CANON EUROPA N.V
15042,4333661,* CANON EUROPA N.V.
15043,4333661,* CANON EUROPA NV
25387,7650783,* DSM N.V.
25388,7650783,DSM N.V.
35467,10897086,* GIST-BROCADES B.V.
40039,13407500,* HITACHI GLOBAL STORAGE TECHNOLOGIES NETHERLANDS B.V.
41697,14134108,* HUNTER DOUGLAS INDUSTRIES B V
41706,14134108,* HUNTER DOUGLAS INDUSTRIES BV
41707,14134108,* HUNTER DOUGLAS INDUSTRIES BV
41709,14134108,* HUNTER DOUGLAS INDUSTRIES BV
41710,14134108,* HUNTER DOUGLAS INDUSTRIES BV
41712,14134108,* HUNTER DOUGLAS INDUSTRIES BV
41714,14134108,* HUNTER DOUGLAS INDUSTRIES BV
50632,26842439,* KONINKLIJKE PHILIPS ELECTRONICS N.V.
50633,26842439,KONINKLIJKE PHILIPS ELECTRONICS N.V.
59081,22624766,* METTLER-TOLEDO B.V.
61721,23614219,* MOTOROLA B.V
62445,26842439,* N V PHILIPS' GLOEILAMPENFABRIEKEN
62446,26842439,* N V PHILIPS` GLOEILAMPENFABRIEKEN
62447,26842439,* N V PHILIPS` GLOEILAMPENFABRIEKEN
66327,25051650,* N.V. NUTRICIA
66328,26842439,* N.V. PHILIPS' GLOEILAMPENFABRIEKEN
66329,26842439,* N.V. PHILIPS' GLOEILAMPENFABRIEKEN
66339,26842439,* N.V.PHILIPS' GLOEILAMPENFABRIEKEN
66340,26842439,* N.V.PHILIPS' GLOEILAMPENFABRIEKEN
67188,25528197,* OMRON EUROPE B.V.
70395,26842439,* PHILIPS ELECTRONICS N V
70396,26842439,* PHILIPS ELECTRONICS N.V.
79235,29801511,* SARA LEE/DE N.V.
79860,30169087,* SCHLUMBERGER LIMITED
79872,30170026,* SCHLUMBERGER TECHNOLOGY BV
81613,30982984,* SHELL INTERNATIONAL RESEARCH MAATSCHHAPPIJ B.V.
81614,30982984,* SHELL INTERNATIONAL RESEARCH MAATSCHHAPPIJ B.V.
81631,30982984,* SHELL INTERNATIONALE RESEARCH MAATSCHAPPIJ B.V.
81632,30982984,* SHELL INTERNATIONALE RESEARCH MAATSCHAPPIJ B.V.
81633,30982984,* SHELL INTERNATIONALE RESEARCH MAATSCHAPPIJ B.V.
81634,30982984,* SHELL INTERNATIONALE RESEARCH MAATSCHAPPIJ B.V.
81641,30982984,* SHELL INTERNATIONALE RESEARCH MAATSCHAPPIJ BV
86718,32634657,* STMICROELECTRONICS N.V.
164218,31692791,AB SKF
170405,173039,ABB B.V.
170406,173039,ABB B.V.
170407,173039,ABB B.V.
170408,173039,"ABB B.V.,"
317963,319886,ADIDAS INTERNATIONAL MARKETING B.V
317965,319886,ADIDAS INTERNATIONAL MARKETING B.V.
317966,319886,Adidas International Marketing B.V.
317967,319886,Adidas International Marketing B.V.
317968,319886,"adidas International Marketing, B.V."
317969,319886,"adidas International Marketing B.V,"
317970,319886,adidas International Marketing B.V.
317971,319886,adidas International Marketing B.V.
317972,319886,adidas International Marketing B.V.
317973,319886,adidas International Marketing B.V.
317974,319886,adidas International Marketing B.V.
317975,319886,adidas International Marketing B.V.
317976,319886,adidas International Marketing B.V.
317977,319886,adidas International Marketing BV
317978,319886,"ADIDAS INTERNATIONAL MARKETING B.V., AMSTERDAM"
317981,319886,ADIDAS INTERNATL MARKETING BV
317982,319886,adidas I{umlaut over (n)}ternational Marketing B.V.
477800,476538,"AIR PRODUCTS AND CHEMICALS, INC."
578319,569309,AKZO NOBEL
578320,569309,Akzo Nobel
578321,569309,Akzo Nobel
578322,569309,Akzo Nobel
578328,569309,AKZO NOBEL B.V.
578329,569309,Akzo Nobel B.V.
578405,569309,AKZO NOBEL COMPANY
578426,569309,AKZO NOBEL INC.
578429,569309,"Akzo Nobel, Inc."
578440,569309,AKZO NOBEL N
578441,569309,AKZO NOBEL N. V
578442,569309,"AKZO NOBEL N. V,"
578445,569309,AKZO NOBEL N. V.
578446,569309,AKZO NOBEL N. V.
578448,569309,AKZO NOBEL N .V.
578450,569309,AKZO NOBEL N V
578451,569309,AKZO Nobel N. V.
578452,569309,"Akzo Nobel, N. V."
578453,569309,Akzo Nobel N. V.
578454,569309,Akzo Nobel N. V.
578455,569309,Akzo Nobel N. V.
578456,569309,Akzo Nobel N V.
578471,569309,"AKZO, NOBEL NV"
578472,569309,AKZO NOBEL' N.V.
578474,569309,"AKZO NOBEL, N.V."
578478,569309,AKZO NOBEL N.V
578479,569309,AKZO NOBEL N.V
578489,569309,AKZO NOBEL N.V.
578490,569309,AKZO NOBEL N.V.
578491,569309,AKZO NOBEL N.V.
578492,569309,AKZO NOBEL N.V.
578493,569309,AKZO NOBEL N.V.
578494,569309,AKZO NOBEL N.V.
578495,569309,AKZO NOBEL N.V.
578496,569309,AKZO NOBEL N.V.
578497,569309,AKZO NOBEL N.V.
578498,569309,AKZO NOBEL N.V.
578499,569309,AKZO NOBEL N.V.
578500,569309,AKZO NOBEL N.V.
578501,569309,AKZO NOBEL N.V.
578502,569309,AKZO NOBEL N.V.
578503,569309,AKZO NOBEL N.V.
578504,569309,AKZO NOBEL N.V.
578505,569309,AKZO NOBEL N.V.
578506,569309,AKZO NOBEL N.V.
578507,569309,AKZO NOBEL N.V.
578508,569309,AKZO NOBEL N.V.
578509,569309,AKZO NOBEL N.V.
578510,569309,AKZO NOBEL N.V.
578511,569309,AKZO NOBEL N.V.
578512,569309,AKZO NOBEL N.V.
578513,569309,AKZO NOBEL N.V.
578514,569309,AKZO NOBEL N.V.
578515,569309,AKZO NOBEL N.V.
578516,569309,AKZO NOBEL N.V.
578517,569309,AKZO NOBEL N.V.
578518,569309,AKZO NOBEL N.V.
578519,569309,AKZO NOBEL N.V.
578525,569309,"AKZO NOBEL N.V.,"
578526,569309,"AKZO NOBEL N.V.,"
578527,569309,"AKZO NOBEL N.V.,"
578529,569309,"AKZO NOBEL N.V.,"
578535,569309,AKZO NOBEL NV
578536,569309,AKZO NOBEL NV
578537,569309,AKZO NOBEL NV
578538,569309,AKZO NOBEL NV
578543,569309,AKZO NOBEL NV.
578544,569309,AKZO NOBEL NV;
578545,569309,"AKZO Nobel, N.V."
578546,569309,AKZO Nobel N.V.
578547,569309,AKZO Nobel N.V.
578548,569309,AKZO Nobel N.V.
578549,569309,AKZO Nobel N.V.
578550,569309,AKZO Nobel N.V.
578551,569309,AKZO Nobel NV
578552,569309,AKzo Nobel NV
578553,569309,"Akzo Nobel, N.V."
578554,569309,"Akzo Nobel, N.V."
578555,569309,"Akzo Nobel, N.V."
578556,569309,"Akzo Nobel, NV"
578557,569309,"Akzo Nobel, NV"
578558,569309,Akzo Nobel N.V
578561,569309,Akzo Nobel N.V.
578562,569309,Akzo Nobel N.V.
578563,569309,Akzo Nobel N.V.
578564,569309,Akzo Nobel N.V.
578565,569309,Akzo Nobel N.V.
578566,569309,Akzo Nobel N.V.
578567,569309,Akzo Nobel N.V.
578568,569309,Akzo Nobel N.V.
578569,569309,Akzo Nobel N.V.
578570,569309,Akzo Nobel N.V.
578571,569309,Akzo Nobel N.V.
578572,569309,Akzo Nobel N.V.
578573,569309,Akzo Nobel N.V.
578574,569309,Akzo Nobel N.V.
578575,569309,Akzo Nobel N.V.
578576,569309,Akzo Nobel N.V.
578577,569309,Akzo Nobel N.V.
578578,569309,Akzo Nobel N.V.
578579,569309,Akzo Nobel N.V.
578580,569309,Akzo Nobel N.V.
578581,569309,Akzo Nobel N.V.
578582,569309,Akzo Nobel N.V.
578583,569309,Akzo Nobel N.V.
578584,569309,Akzo Nobel N.V.
578585,569309,Akzo Nobel N.V.
578586,569309,Akzo Nobel N.V.
578587,569309,Akzo Nobel N.V.
578588,569309,Akzo Nobel N.V.
578589,569309,Akzo Nobel N.V.
578590,569309,Akzo Nobel N.V.
578591,569309,Akzo Nobel N.V.
578592,569309,Akzo Nobel N.V.
578593,569309,Akzo Nobel N.V.
578594,569309,Akzo Nobel N.V.
578595,569309,Akzo Nobel N.V.
578596,569309,Akzo Nobel N.V.
578597,569309,Akzo Nobel N.V.
578598,569309,Akzo Nobel N.V.
578599,569309,Akzo Nobel N.V.
578600,569309,Akzo Nobel N.V.
578601,569309,Akzo Nobel N.V.
578602,569309,Akzo Nobel N.V.
578605,569309,Akzo Nobel NV
578606,569309,Akzo Nobel NV
578607,569309,Akzo Nobel NV
578608,569309,Akzo Nobel NV
578609,569309,Akzo Nobel NV
578610,569309,Akzo Nobel NV
578611,569309,Akzo Nobel NV
578612,569309,Akzo Nobel NV
578613,569309,Akzo Nobel NV
578614,569309,Akzo Nobel NV
578615,569309,Akzo Nobel NV
578616,569309,Akzo Nobel NV
578617,569309,Akzo Nobel NV
578618,569309,Akzo Nobel NV
578619,569309,Akzo Nobel NV.
578621,569309,Akzo Nobel Nv
578622,569309,Akzo Nobel n.v.
578623,569309,Akzo Nobel nv
578624,569309,Akzo Nobel nv
578625,569309,Akzo Nobel nv
578626,569309,Akzo Nobel nv
578627,569309,Akzo Nobel nv.
578628,569309,"AKZO NOBEL NV ,"
578629,569309,AKZO NOBEL N.V.                               .
578634,569309,"AKZO NOBEL N.V., ARNHEIM/ARNHEM"
578635,569309,"AKZO NOBEL N.V., ARNHEIM/ARNHEM, NL"
578636,569309,"AKZO NOBEL N.V., ARNHEM"
578637,569309,"AKZO NOBEL NV, ARNHEM"
578643,569309,AKZO NOBEL NV NAAMLOOZE VENNOOTSCHAP
578703,569309,"AKZO NOBEL,NV."
578711,569309,AKZO NOBLE N.V.
578712,569309,AKZO NOBLE N.V.
578713,569309,Akzo Noble N.V.
578722,569309,AKZO NOVEL N. V.
578725,569309,AKZO NOVEL N.V.
578727,569309,AKZO NOVEL NV.
578728,569309,Akzo Novel N.V.
578729,569309,Akzo Novel NV
578730,569309,Akzo Novel nv
579028,569309,AKZO-NOBEL N.V.
579029,569309,"Akzo-Nobel, N.V."
662355,656303,ALCATEL AG
663078,656303,ALCATEL N. V.
663079,656303,"ALCATEL N. V.,"
663082,656303,"ALCATEL N. V.,"
663084,656303,ALCATEL N V
663086,656303,Alcatel N. V.
